employee_id,age,years_experience,department,job_title,education_level,location,performance_rating,overtime_hours,projects_completed,salary
208,43,12,Engineering,Junior,PhD,Boston,3.5,7,7,299184
209,32,7,Marketing,Junior,Master,Boston,3.48,17,7,190681
210,37,0,Operations,Lead,Master,New York,2.95,2,1,152285
211,54,16,HR,Senior,High School,Seattle,1.03,3,6,164276
212,30,11,Sales,Director,High School,Austin,2.03,4,7,286883
213,27,3,IT,Junior,High School,Boston,1.44,3,6,103421
214,37,12,IT,Manager,PhD,Austin,3.65,6,5,475272
215,50,30,Sales,Manager,PhD,San Francisco,1.99,19,2,751465
216,24,6,Finance,Mid-Level,High School,San Francisco,2.8,5,10,208423
217,41,22,HR,Senior,High School,Remote,2.41,16,10,206998
218,57,23,IT,Senior,Master,Austin,1.57,13,2,308233
219,40,4,Finance,Lead,High School,Chicago,4.83,4,7,250259
220,47,4,Finance,Mid-Level,High School,Boston,4.73,14,3,181253
221,24,16,Operations,Lead,Bachelor,Boston,1.34,9,12,276548
222,40,29,Operations,Mid-Level,High School,San Francisco,4.31,1,14,269340
223,41,8,Operations,Director,Bachelor,Remote,2.95,11,9,269286
224,53,5,Engineering,Senior,High School,Remote,4.09,10,7,214267
225,28,24,HR,Director,Bachelor,Seattle,1.6,6,14,560588
226,62,18,Sales,Lead,High School,New York,1.53,6,13,353529
227,54,15,HR,Mid-Level,Master,Boston,4.56,18,12,365637
228,61,20,Operations,Senior,PhD,San Francisco,4.59,6,9,434232
229,60,1,Engineering,Senior,Bachelor,Remote,2.86,13,5,198062
230,39,9,HR,Junior,PhD,San Francisco,4.48,11,2,203537
231,61,15,HR,Lead,Master,Austin,3.67,9,11,339059
232,22,14,Finance,Junior,High School,Austin,1.74,4,9,118199
233,32,12,HR,Senior,High School,Seattle,2.32,6,1,145033
234,49,12,Finance,Lead,Master,Austin,1.54,5,0,218409
235,46,31,Finance,Lead,PhD,New York,4.1,19,11,1110151
236,44,7,Marketing,Director,PhD,Remote,4.94,1,3,341403
237,52,17,Operations,Manager,PhD,Boston,3.19,12,7,437975
238,51,25,IT,Mid-Level,PhD,New York,3.62,15,3,504433
239,63,9,Engineering,Manager,Bachelor,Remote,3.98,7,7,365406
240,56,30,Finance,Manager,PhD,New York,1.9,12,12,981565
241,28,32,HR,Senior,Bachelor,Austin,2.34,13,7,289847
242,37,28,Finance,Director,Master,Seattle,2.65,4,10,856073
243,47,4,Finance,Mid-Level,High School,San Francisco,3.38,2,0,132376
244,23,12,Finance,Manager,Bachelor,Chicago,4.4,13,12,555751
245,22,0,Sales,Manager,PhD,San Francisco,2.02,12,5,405079
246,33,22,IT,Lead,High School,San Francisco,2.88,16,10,585909
247,26,2,IT,Senior,Bachelor,San Francisco,4.01,8,14,405653
248,58,2,Sales,Manager,High School,San Francisco,1.35,6,9,260204
249,53,6,Sales,Mid-Level,Master,New York,3.05,17,7,297094
250,30,34,Sales,Junior,PhD,Austin,1.58,10,7,268693
251,62,14,IT,Junior,Master,Austin,3.16,15,0,181577
252,56,2,Marketing,Senior,High School,San Francisco,4.07,17,7,239341
253,40,28,Finance,Junior,Master,Chicago,1.95,6,12,293782
254,37,29,Marketing,Lead,PhD,Boston,4.4,3,8,581371
255,24,17,HR,Lead,Bachelor,San Francisco,2.34,18,10,440139
256,41,10,IT,Mid-Level,Master,San Francisco,1.76,10,13,394055
257,45,0,Operations,Director,PhD,Chicago,2.86,12,5,307409
258,54,28,IT,Senior,High School,New York,4.5,5,12,502357
259,45,9,Engineering,Senior,Master,San Francisco,1.28,12,6,405488
260,32,27,Marketing,Junior,Bachelor,Chicago,2.31,1,5,138902
261,29,30,Sales,Manager,Master,New York,3.61,13,4,691130
262,57,18,Sales,Manager,High School,New York,2.43,12,0,301763
263,59,2,HR,Director,High School,Seattle,1.28,4,1,155274
264,61,14,Finance,Manager,High School,Remote,2.33,2,9,248903
265,41,32,Engineering,Director,Master,Remote,4.28,3,1,624738
266,56,25,Marketing,Mid-Level,Master,Seattle,4.87,13,10,427464
267,46,15,Finance,Senior,Master,Seattle,1.16,17,8,386646
268,56,32,Finance,Junior,Bachelor,San Francisco,3.28,10,5,312967
269,46,19,Operations,Mid-Level,PhD,Remote,1.42,18,2,166536
270,50,12,Operations,Lead,Master,New York,3.72,1,2,225921
271,39,32,Marketing,Lead,Bachelor,San Francisco,1.03,1,13,467318
272,39,4,Marketing,Lead,High School,San Francisco,1.06,2,9,200869
273,23,13,Marketing,Director,Master,Austin,4.11,15,9,579642
274,56,26,Marketing,Director,Master,Boston,1.3,0,1,395501
275,37,22,Sales,Senior,Master,Boston,2.22,9,6,372669
276,62,13,IT,Lead,Bachelor,Austin,4.83,5,13,437881
277,57,3,IT,Director,Master,Remote,4.94,16,0,396368
278,54,18,Finance,Director,Master,San Francisco,1.65,18,0,634995
279,25,3,IT,Manager,PhD,Chicago,3.24,11,13,589744
280,54,29,Finance,Director,Bachelor,New York,3.24,19,9,1042510
281,35,18,Sales,Lead,PhD,Austin,2.81,15,2,375254
282,42,30,IT,Mid-Level,PhD,Seattle,4.7,1,0,368593
283,41,30,Finance,Lead,PhD,Austin,4.02,14,12,798450
284,29,8,Marketing,Manager,PhD,Austin,4.06,18,10,493993
285,28,12,Engineering,Lead,High School,Remote,2.08,0,13,258091
286,24,13,IT,Junior,Master,Remote,2.74,5,2,140382
287,38,9,Operations,Manager,PhD,Austin,2.95,17,14,413476
288,54,30,Operations,Senior,Bachelor,Boston,2.2,18,11,364748
289,33,22,Finance,Lead,Master,San Francisco,1.38,2,8,502058
290,43,26,Engineering,Director,PhD,Austin,1.51,4,6,733677
291,43,5,Operations,Mid-Level,PhD,Austin,1.72,2,12,139520
292,51,25,IT,Lead,Bachelor,Austin,1.81,6,8,390015
293,59,1,Engineering,Mid-Level,High School,Chicago,1.97,6,6,140598
294,59,12,Sales,Junior,Bachelor,Chicago,2.02,0,10,141864
295,29,18,HR,Senior,High School,New York,2.82,12,13,297560
296,48,0,Finance,Director,High School,San Francisco,3.04,12,8,428982
297,48,31,Sales,Manager,High School,Austin,2.24,14,10,426538
298,55,21,Sales,Manager,PhD,New York,4.63,18,12,1038793
299,42,28,Engineering,Senior,PhD,Remote,3.21,6,2,375076
300,51,1,Finance,Junior,High School,Seattle,4.15,16,6,141167
301,54,10,Sales,Junior,High School,New York,4.7,9,5,159665
302,49,16,Marketing,Lead,PhD,Seattle,1.65,18,1,351410
303,54,7,Sales,Junior,High School,Seattle,2.71,17,5,138620
304,26,21,Marketing,Lead,PhD,San Francisco,2.73,7,2,445137
305,40,3,HR,Mid-Level,High School,Chicago,2.42,7,1,87751
306,25,10,Marketing,Senior,PhD,San Francisco,1.04,8,4,293435
307,56,7,Marketing,Mid-Level,Bachelor,New York,4.26,12,4,206944
308,38,8,Engineering,Mid-Level,High School,Seattle,1.45,12,10,231815
309,49,25,Sales,Mid-Level,High School,San Francisco,4.98,1,1,219722
310,51,1,HR,Mid-Level,Bachelor,Chicago,4.09,6,2,110789
311,50,15,Sales,Manager,Master,New York,3.32,6,7,515047
312,27,30,IT,Junior,High School,San Francisco,1.62,19,14,384693
313,56,5,IT,Senior,Master,Remote,3.06,0,4,191617
314,62,20,Marketing,Senior,Bachelor,Remote,2.04,13,7,229271
315,58,25,Operations,Director,High School,Austin,2.01,5,9,298855
316,45,18,Marketing,Mid-Level,Master,Austin,4.32,12,3,212604
317,50,27,Sales,Senior,High School,San Francisco,2.52,0,3,256969
318,52,7,HR,Lead,High School,San Francisco,2.8,19,12,325092
319,56,13,Operations,Senior,PhD,Seattle,4.37,2,5,249704
320,54,23,HR,Mid-Level,Master,Remote,1.35,14,9,213634
321,42,25,Engineering,Senior,PhD,Seattle,3.38,17,10,814590
322,53,30,Marketing,Junior,PhD,Chicago,3.31,9,13,341600
323,44,31,Marketing,Mid-Level,Master,New York,2.7,14,13,490115
324,54,1,IT,Manager,Master,San Francisco,4.32,7,14,640400
325,24,24,Engineering,Junior,PhD,New York,4.77,4,4,389180
326,39,1,IT,Senior,High School,Austin,2.86,8,4,155591
327,46,0,Sales,Manager,High School,New York,2.82,0,8,229421
328,63,11,Marketing,Director,Bachelor,Boston,3.01,18,5,472571
329,52,8,Sales,Junior,High School,Remote,3.89,7,13,130360
330,24,27,HR,Director,Master,Chicago,3.67,4,14,709543
331,61,32,Operations,Lead,Master,Remote,1.89,17,2,274733
332,45,21,Operations,Junior,Bachelor,Chicago,1.26,8,10,132191
333,53,24,Operations,Manager,Master,New York,4.8,0,3,373262
334,43,17,IT,Director,PhD,Chicago,2.04,18,8,883349
335,44,5,Finance,Lead,Bachelor,New York,3.55,13,5,346935
336,23,17,Engineering,Director,Bachelor,New York,4.31,13,10,1005872
337,48,15,Operations,Senior,High School,Austin,2.2,3,13,154268
338,63,14,Marketing,Mid-Level,High School,Remote,3.54,6,7,138000
339,23,7,Engineering,Director,PhD,New York,1.43,19,10,938698
340,47,12,HR,Senior,PhD,Chicago,4.88,10,6,326033
341,38,6,HR,Mid-Level,High School,Boston,1.23,1,11,124930
342,61,16,IT,Mid-Level,High School,San Francisco,2.75,17,0,241657
343,54,31,HR,Manager,PhD,Chicago,3.15,9,0,419313
344,30,21,HR,Lead,High School,Boston,4.16,0,9,271857
345,64,12,Finance,Lead,Bachelor,Chicago,1.48,13,13,380909
346,60,22,Sales,Junior,PhD,Boston,2.76,9,6,271520
347,50,28,Sales,Senior,High School,Chicago,2.2,17,12,373502
348,63,21,Operations,Manager,Master,San Francisco,2.25,6,1,329079
349,47,0,Finance,Director,Master,Austin,4.12,18,8,513364
350,56,28,IT,Senior,PhD,Austin,1.02,3,13,472130
351,46,4,Sales,Director,Master,San Francisco,4.0,13,11,745083
352,45,34,IT,Director,Master,Chicago,4.24,8,9,1085686
353,34,9,IT,Director,Bachelor,Remote,4.61,3,11,480416
354,28,18,HR,Junior,PhD,Boston,3.51,5,8,219967
355,57,6,Sales,Junior,Master,New York,2.33,1,13,193712
356,41,34,Engineering,Manager,High School,Chicago,2.71,0,11,536393
357,22,12,Operations,Junior,PhD,San Francisco,4.88,16,1,198299
358,29,9,Sales,Manager,PhD,Seattle,4.52,3,8,505234
359,37,1,Engineering,Junior,Master,Austin,2.85,4,8,161145
360,35,5,Marketing,Lead,Master,Austin,4.77,17,9,357494
361,33,7,Engineering,Manager,Bachelor,Chicago,4.29,12,5,432052
362,44,24,Engineering,Lead,High School,Boston,4.6,19,4,526501
363,36,6,HR,Lead,Bachelor,Remote,3.73,10,9,207317
364,49,22,HR,Manager,Bachelor,Remote,4.43,19,1,292524
365,55,18,Operations,Senior,High School,San Francisco,4.57,0,5,195956
366,23,21,HR,Mid-Level,Master,San Francisco,1.37,11,10,309358
367,53,12,Engineering,Junior,Bachelor,Boston,4.86,12,8,284133
368,44,20,Finance,Director,PhD,Boston,2.33,3,2,594739
369,43,0,HR,Junior,Bachelor,Remote,2.76,11,2,65011
370,46,18,HR,Director,High School,Chicago,4.17,5,10,396612
371,43,32,Engineering,Senior,Bachelor,Remote,3.66,12,3,372495
372,43,3,Marketing,Mid-Level,Bachelor,Chicago,4.57,13,14,235440
373,63,2,Marketing,Senior,PhD,Seattle,2.6,11,9,291187
374,27,26,Sales,Mid-Level,High School,Austin,2.49,19,10,260417
375,36,34,Operations,Manager,PhD,Austin,1.13,1,11,407044
376,64,27,Marketing,Manager,Master,Boston,2.85,11,3,475874
377,58,5,HR,Director,High School,New York,3.9,5,14,388908
378,54,5,Finance,Lead,Bachelor,New York,2.2,3,0,206651
379,29,22,Sales,Lead,PhD,New York,2.85,0,1,389475
380,26,32,Operations,Director,PhD,San Francisco,1.88,7,5,662617
381,60,15,Finance,Manager,High School,Chicago,4.09,7,4,325125
382,25,23,Finance,Director,PhD,Boston,1.24,11,9,869742
383,27,4,HR,Lead,High School,Austin,3.82,3,3,135381
384,53,12,Engineering,Director,Master,New York,2.52,15,9,917023
385,51,11,Engineering,Manager,High School,Austin,1.17,13,8,323855
386,56,4,Engineering,Senior,High School,Chicago,4.41,13,1,212598
387,61,30,Marketing,Junior,Master,Seattle,2.95,1,14,275285
388,37,27,Engineering,Manager,Master,Seattle,3.4,16,11,1027378
389,34,27,Operations,Director,Bachelor,Boston,3.93,7,7,495119
390,63,29,HR,Manager,PhD,New York,3.62,6,14,795621
391,51,17,Marketing,Manager,Master,New York,3.92,12,11,646430
392,40,26,Operations,Lead,Master,Seattle,4.05,10,10,464575
393,38,34,Engineering,Director,PhD,Boston,3.36,18,3,1261860
394,40,25,Operations,Lead,PhD,Austin,2.46,18,8,405070
395,49,17,Finance,Director,Bachelor,Chicago,1.97,9,3,435652
396,47,32,HR,Lead,Bachelor,Seattle,4.61,10,1,357537
397,58,24,HR,Lead,High School,Seattle,4.88,15,13,461788
398,47,30,Operations,Senior,Bachelor,Chicago,2.43,7,13,308014
399,44,1,Sales,Manager,Master,Chicago,1.45,1,5,225610
400,30,32,HR,Senior,Master,Seattle,1.89,13,12,457435
401,33,31,Finance,Lead,PhD,Austin,3.68,16,11,788067
402,22,17,HR,Senior,Bachelor,Austin,1.69,16,13,269535
403,22,16,Sales,Manager,High School,New York,4.12,10,8,441976
404,55,33,HR,Manager,High School,Austin,4.69,0,6,303120
405,53,6,IT,Lead,High School,San Francisco,4.85,18,0,326312
406,46,34,HR,Manager,High School,Boston,1.04,0,13,350864
407,61,29,Sales,Senior,PhD,Austin,4.83,3,8,470373
408,22,11,IT,Mid-Level,Bachelor,Chicago,3.96,6,5,234783
409,37,34,IT,Manager,Bachelor,Austin,1.34,19,8,608128
410,60,10,HR,Senior,Bachelor,New York,2.66,0,1,140772
411,26,3,Operations,Senior,Bachelor,Remote,3.8,10,10,151635
412,43,24,Marketing,Senior,High School,Boston,4.83,12,6,315352
